abigail_williams_(fate),阿比盖尔·威廉姆斯（Fate）
admiral_(kancolle),提督（舰队Collection）
aether_(genshin_impact),空（原神）
akagi_(kancolle),赤城（舰队Collection）
akatsuki_(kancolle),晓（舰队Collection）
akemi_homura,晓美焰
akemi_homura_(magical_girl),晓美焰（魔法少女）
akiyama_mio,秋山澪
alice_margatroid,爱丽丝·玛格特洛依德
applejack_(mlp),苹果杰克（小马宝莉）
arknights,明日方舟
artoria_pendragon_(fate),阿尔托莉雅·潘德拉贡（Fate）
asuna_(blue_archive),明日奈（蔚蓝档案）
azur_lane,碧蓝航线
bang_dream!,BanG Dream!
bang_dream!_it's_mygo!!!!!,BanG Dream! It's MyGO!!!!!
bishoujo_senshi_sailor_moon,美少女战士
bleach,死神
blue_archive,蔚蓝档案
bocchi_the_rock!,孤独摇滚！
boku_no_hero_academia,我的英雄学院
borrowed_character,借用角色
boss_monster_(undertale),首领怪物（传说之下）
chainsaw_man,电锯人
character_name,角色名
chen,辰
cirno,琪露诺
cloud_strife,克劳德·斯特莱夫
code_geass,反叛的鲁路修
danganronpa_(series),弹丸论破（系列）
darkstalkers,恶魔战士
digimon,数码宝贝
doodle_sensei_(blue_archive),涂鸦老师（蔚蓝档案）
dragon_ball,龙珠
dragon_ball_z,龙珠Z
dragon_quest,勇者斗恶龙
duel_monster,决斗怪兽
dungeon_meshi,迷宫饭
earth_pony,陆马
eeveelution,伊布进化型
experiment_(lilo_and_stitch),实验（星际宝贝）
fate/apocrypha,Fate/Apocrypha
fate/extra,命运/extra
fate/extra_ccc,Fate/Extra CCC
fate/grand_order,命运/冠位指定
fate/kaleid_liner_prisma_illya,Fate/kaleid liner 魔法少女☆伊莉雅
fate/stay_night,命运之夜
fate/zero,命运/零
fate_(series),命运（系列）
fate_testarossa,菲特·泰斯特罗莎
final_fantasy,最终幻想
final_fantasy_vii,最终幻想VII
fire_emblem,火焰纹章
fire_emblem_awakening,火焰纹章：觉醒
fire_emblem_fates,火焰纹章if
fire_emblem_heroes,火焰纹章英雄
flandre_scarlet,芙兰朵露·斯卡雷特
fluttershy_(mlp),柔柔（小马宝莉）
fubuki_(kancolle),吹雪（舰队Collection）
fujimaru_ritsuka_(female),藤丸立香（女性）
fujimaru_ritsuka_(male),藤丸立香（男性）
fujiwara_no_mokou,藤原妹红
ganyu_(genshin_impact),甘雨（原神）
gap_(touhou),间隙（东方Project）
gardevoir,沙奈朵
gawr_gura,噶呜·古拉
generation_1_pokemon,第一代宝可梦
generation_2_pokemon,第二世代宝可梦
generation_3_pokemon,第三世代宝可梦
generation_4_pokemon,第四代宝可梦
generation_5_pokemon,第五世代宝可梦
generation_6_pokemon,第六世代宝可梦
generation_7_pokemon,第七世代宝可梦
generation_8_pokemon,第八代宝可梦
generation_9_pokemon,第九世代宝可梦
genshin_impact,原神
girls'_frontline,少女前线
girls_und_panzer,少女与战车
go-toubun_no_hanayome,五等分的新娘
gochuumon_wa_usagi_desu_ka?,请问您今天要来点兔子吗？
gotoh_hitori,后藤独
granblue_fantasy,碧蓝幻想
gundam,高达
hakurei_reimu,博丽灵梦
hamakaze_(kancolle),滨风（舰队Collection）
haruna_(kancolle),榛名（舰队Collection）
hatsune_miku,初音未来
hibiki_(kancolle),响（舰队Collection）
higurashi_no_naku_koro_ni,寒蝉鸣泣之时
hijiri_byakuren,圣白莲
hina_(blue_archive),阳奈（蔚蓝档案）
hinanawi_tenshi,比那名居天子
hololive,霍洛莉芙
hololive_english,Hololive英语组
hong_meiling,红美铃
honkai:_star_rail,star rail:崩坏：星穹铁道
honkai_(series),崩坏（系列）
honkai_impact_3rd,崩坏3
hoshiguma_yuugi,星熊勇仪
hoshimachi_suisei,星街彗星
houjuu_nue,封兽鵺
houraisan_kaguya,蓬莱山辉夜
houshou_marine,宝钟玛琳
hu_tao_(genshin_impact),胡桃（原神）
ibuki_suika,伊吹萃香
idolmaster,偶像大师
