1boy,1个男孩
1girl,1个女孩
1other,其他1人
2boys,双少年
2girls,2个女孩
3_toes,三趾
3boys,三少年
3girls,三姐妹
4_fingers,四指
4_toes,四趾
4girls,4女孩
5_fingers,五指
6+girls,六人以上女性
abdominal_bulge,腹凸
abs,腹肌
aged_down,幼龄化
ahoge,呆毛
alternate_hairstyle,替代发型
animal_ears,兽耳
animal_humanoid,动物人形
antenna_hair,天线发
anthro,兽人
anthrofied,拟人化
anus,肛门
aqua_eyes,水蓝色眼睛
aqua_hair,水色头发
areola,乳晕
armpits,腋下
ass,臀部
back,背部
balls,睾丸
bare_arms,裸露手臂
bare_legs,裸腿
bare_shoulders,露肩
barefoot,赤足
big_balls,巨睾
big_breasts,巨乳
big_butt,丰臀
big_muscles,壮硕肌肉
big_penis,巨根
biped,双足站立
black_body,黑色躯体
black_eyes,黑色眼睛
black_hair,黑发
black_nails,黑色指甲
black_nose,黑鼻子
blonde_hair,金发
blue_body,蓝色躯体
blue_eyes,蓝眼睛
blue_hair,蓝发
blunt_bangs,齐刘海
blush,脸红
blush_stickers,腮红贴纸
bob_cut,波波头
bodily_fluids,体液
bottomless,下半身裸露
braid,辫子
breasts,胸部
bright_pupils,明亮瞳孔
brown_body,棕色身体
brown_eyes,棕瞳
brown_hair,棕发
butt,臀部
cameltoe,骆驼趾
canine_genitalia,犬科生殖器
canine_penis,犬科阴茎
cat_girl,猫娘
cat_tail,猫尾
cheek_tuft,颊簇毛
cleavage,乳沟
clenched_teeth,咬紧牙关
closed_eyes,闭眼
closed_mouth,闭嘴
collarbone,锁骨
colored_inner_hair,挑染发
colored_skin,有色皮肤
completely_nude,全裸
cosplay,角色扮演
couple,情侣
covered_navel,遮住肚脐
covered_nipples,遮盖乳头
crossgender,跨性别
cum,精液
curvy_figure,曲线身材
dark-skinned_female,深肤色女性
dark-skinned_male,深色皮肤男性
dark_skin,深色皮肤
demon_girl,恶魔少女
demon_horns,恶魔角
dipstick_tail,油尺尾
double_bun,双丸子头
drill_hair,钻头卷发
elf,精灵
equine_genitalia,马科生殖器
equine_penis,马科阴茎
