abyssal_ship,深海舰船
ailurid,鼬科动物
aircraft,飞行器
alcohol,酒精
alligatorid,鳄目生物
amphibian,两栖类
anchor_symbol,锚形符号
animal,动物
animal_focus,动物特写
animal_genitalia,动物生殖器
apple,苹果
arrow_(projectile),箭矢
arrow_(symbol),箭头（符号）
asian_mythology,亚洲神话
assault_rifle,突击步枪
avian,鸟类
bag,包
ball,球体
balloon,气球
bandages,绷带
basket,篮子
bat,蝙蝠
bdsm,BDSM
beachball,沙滩球
bed,床
bed_sheet,床单
bell,铃铛
bench,长凳
beverage,饮品
bird,鸟
bird_dog,捕禽猎犬
black_balls,黑色球体
blanket,毯子
blood,血迹
blue_flower,蓝色花朵
blue_rose,蓝玫瑰
bondage,束缚
book,书本
bookshelf,书架
bottle,瓶子
bouncing_balls,弹跳球体
bouquet,花束
bovid,牛科动物
bovine,牛科
bow_(weapon),弓（武器）
bowl,碗
box,箱子
bread,面包
broom,扫帚
bubble,气泡
bucket,水桶
bug,昆虫
butterfly,蝴蝶
buttplug,肛塞
cable,电缆
cake,蛋糕
camera,相机
can,罐头
candle,蜡烛
candy,糖果
canid,犬科动物
canine,犬类
canis,犬属
cannon,加农炮
caprine,山羊属
car,汽车
card,卡片
cat,猫
cattle,牛
cellphone,手机
cetacean,鲸类
chair,椅子
character_doll,角色玩偶
chastity_device,贞操带
cherry_blossoms,樱花
chocolate,巧克力
chopsticks,筷子
cigarette,香烟
clock,时钟
condom,安全套
confetti,五彩纸屑
controller,手柄
crescent,新月
crystal,水晶
cuff_(restraint),束缚铐
cum_on_ground,地面精液
cum_splatter,精液飞溅
cup,杯子
dagger,匕首
dakimakura_(medium),等身抱枕（中号）
desk,书桌
digimon_(species),数码兽（物种）
dildo,假阳具
dildo_insertion,假阳具插入
dildo_sitting,骑坐假阳具
disembodied_hand,断手
disposable_cup,一次性纸杯
dog,狗
doll,玩偶
domestic_cat,家猫
domestic_dog,家犬
door,门
dragon,龙
drink,饮料
drinking_glass,玻璃杯
drinking_straw,吸管
dual_wielding,双持武器
east_asian_mythology,东亚神话
eighth_note,八分音符
electronics,电子产品
equid,马科动物
equine,马科
eulipotyphlan,劳亚食虫目
feathers,羽毛
feces,粪便
felid,猫科动物
feline,猫科
felis,猫科
feral,野生
fish,鱼
flag,旗帜
flora_fauna,动植物群
flower,花朵
folding_fan,折扇
food,食物
fork,叉子
fruit,水果
fur,毛发
furniture,家具
gag,口塞
galliform,鸡形目
gallus_(genus),原鸡属
gift,礼物
gift_box,礼盒
glass,玻璃
gohei,御币
gold_(metal),黄金（金属）
gryphon,狮鹫
guitar,吉他
gun,枪械
hand_fan,团扇
handgun,手枪
head_rest,头枕
heart,心形
hellhound,地狱犬
herding_dog,牧犬
hitodama,人魂
holidays,节日
hunting_dog,猎犬
ice_cream,冰淇淋
id_card,身份证
inflatable,充气式
innertube,游泳圈
insect,昆虫
instrument,乐器
invisible_chair,隐形椅子
jack-o'-lantern,南瓜灯
japanese_text,日语文本
katana,武士刀
key,钥匙
knife,刀具
korean_text,韩文
lagomorph,兔形目
lamp,灯具
lantern,灯笼
leaf,叶子
leash,牵绳
leporid,兔科
logo,商标
lollipop,棒棒糖
machinery,机械
macropod,袋鼠科
magic,魔法
mammal,哺乳动物
marine,海洋生物
marsupial,有袋类
mecha,机甲
melee_weapon,近战武器
microphone,麦克风
military_vehicle,军用载具
mirror,镜子
mollusk,软体动物
motor_vehicle,机动车辆
mouse,老鼠
mug,马克杯
murid,鼠科
murine,鼠类
music,音乐
musical_note,音符
mustelid,鼬科
musteline,鼬科
mythological_avian,神话禽鸟
mythological_canine,神话犬类
mythological_equine,神话马科
new_world_deer,新大陆鹿
nordic_sled_dog,北欧雪橇犬
o-ring,O形环
ofuda,御札
open_book,翻开书本
oscine,鸣禽类
page_number,页码
pantherine,豹亚科
paper,纸张
passerine,雀形目
pastoral_dog,牧羊犬
patreon_logo,Patreon标志
paw_print,爪印
paws,兽爪
pen,笔
phasianid,雉类
phone,手机
pillow,枕头
pink_flower,粉色花朵
plant,植物
plate,餐盘
plug_(sex_toy),肛塞（性玩具）
plushie,毛绒玩偶
pocky,百奇
poke_ball,精灵球
poke_ball_(basic),精灵球（基础）
polearm,长柄武器
pom_pom_(cheerleading),彩球（啦啦队）
pony,小马
popsicle,冰棍
potted_plant,盆栽
pouch,小袋
prehistoric_species,史前物种
primate,灵长类
procyonid,浣熊科
purple_flower,紫花
quadruped,四足动物
rabbit,兔子
raccoon_dog,貉
randoseru,硬式书包
rat,鼠
red_flower,红花
red_rose,红玫瑰
reptile,爬行类
rifle,步枪
rock,岩石
rodent,啮齿动物
romantic,浪漫
rope,绳索
rose,玫瑰
scalie,鳞甲类
school_bag,书包
school_desk,课桌
sciurid,松鼠科
scythe,镰刀
sex_toy,性玩具
sex_toy_in_ass,肛内性玩具
sexual_barrier_device,性屏障装置
sheath,刀鞘
sheathed,入鞘
sheepdog,牧羊犬
shield,盾牌
ship_turret,舰炮
sign,标志
skull,骷髅
slime,粘液
smartphone,智能手机
snake,蛇
spear,长矛
spikes,尖刺
spoon,勺子
staff,工作人员
strawberry,草莓
stuffed_animal,毛绒玩具
stuffed_rabbit,毛绒兔
stuffed_toy,毛绒玩具
suid,猪科
suine,猪科动物
sunflower,向日葵
swim_ring,游泳圈
sword,刀剑
table,桌子
tail_feathers,尾羽
teacup,茶杯
teddy_bear,泰迪熊
tentacles,触手
thought_bubble,思想气泡
towel,毛巾
toy_dog,玩具犬
tray,托盘
tree_squirrel,树松鼠
true_musteline,真鼬科
umbrella,雨伞
unworn_eyewear,未佩戴眼镜
unworn_hat,未戴着的帽子
urine,尿液
valentine,情人节
vehicle,载具
vibrator,振动器
wand,魔杖
weapon,武器
white_balls,白色球体
white_flower,白花
wine_glass,葡萄酒杯
wood,木质
yellow_flower,黄花
