1990s_(style),1990年代（风格）
2000s_(style),2000年代（风格）
2d_animation,2D动画
2koma,四格漫画
3d,3D
3d_(artwork),3D作品
3d_animation,3D动画
3koma,四格漫画
4k,4K分辨率
4koma,四格漫画
abstract_background,抽象背景
absurd_res,超高分辨率
absurdres,超高分辨率
adobe_photoshop_(artwork),Adobe Photoshop（艺术作品）
afterimage,残影
ai-generated,AI生成
alpha_channel,透明通道
alternate_color,异色版
animated,动画风格
animated_gif,动态GIF
anime_screenshot,动画截图
animification,动画化
aqua_background,水色背景
argyle_background,菱形格背景
artistic_error,艺术性失误
assisted_exposure,辅助曝光
aura,气场
backlighting,逆光
bad_anatomy,结构畸形
bad_source,低质量源文件
bar_censor,条形码遮挡
bara,蔷薇
base_three_layout,三格布局
black_and_white,黑白
black_background,黑色背景
black_border,黑色边框
black_text,黑色文字
blender_(artwork),Blender（艺术作品）
blockage_(layout),阻塞（布局）
blood_splatter,血迹喷溅
blue_and_white,蓝白配色
blue_background,蓝色背景
blue_theme,蓝色主题
blurred_background,背景模糊
blurry,模糊
blurry_background,模糊背景
blurry_foreground,前景模糊
bokeh,虚化光斑
border,边界
brick_wall,砖墙
brown_background,棕色背景
card_(medium),卡片（中号）
cel_shading,赛璐珞着色
censor_bar,审查条
censor_removal_edit,去码编辑
censored_genitalia,生殖器打码
checkered_background,方格背景
chibi,Q版
chibi_inset,Q版插画
chibi_only,仅Q版
chinese_text,中文文本
chromatic_aberration,色差
circle,圆形
clip_studio_paint_(medium),Clip Studio Paint（绘画媒介）
colored,彩色
colored_pencil_(medium),彩色铅笔（绘画工具）
colored_sketch,彩色草图
colorful,多彩
colorized,彩色化
comic,漫画
commission,委托作品
concept_art,概念设计图
contact_onomatopoeia,接触拟声词
contemporary,当代风格
convenient_censorship,便利性审查
cover_page,封面页
crack,裂缝
cropped,裁剪过的
cross-section,横截面
cum_covered,精液覆盖
cutaway,剖视图
danmaku,弹幕
dark_background,暗色背景
dark_persona,暗黑人格面具
dated,过时
derivative_work,衍生作品
detailed,细节丰富
detailed_background,精细背景
dialogue,对话
digital_drawing_(artwork),数字绘画
digital_media_(artwork),数字媒体（艺术作品）
digital_painting_(artwork),数字绘画（艺术作品）
directional_arrow,方向箭头
dirty,污浊
doujin_cover,同人志封面
dripping,滴落效果
drop_shadow,投影效果
elemental_manipulation,元素操控
emphasis_lines,强调线
english_text,英文文本
engrish_text,错误英文文本
explosion,爆炸
exposure_variation,曝光变化
fake_screenshot,伪造截图
fantasy,幻想
film_grain,胶片颗粒
flat_color,平涂色块
flat_colors,平涂色块
floral_background,花卉背景
four_frame_image,四格图像
frame_by_frame,逐帧绘制
game_cg,游戏CG
glint,反光
glistening,光泽
glistening_body,光泽身体
glowing,发光
gold,金色
gore,血腥
gradient_background,渐变背景
graphite_(artwork),石墨画（艺术作品）
graphite_(medium),石墨（媒介）
green_background,绿色背景
green_theme,绿色主题
grey_background,灰色背景
greyscale,灰度
greyscale_with_colored_background,彩色背景灰度图
grid_background,网格背景
halftone,网点效果
halftone_background,网点背景
has_bad_revision,存在劣质修改
hatching_(texture),孵化纹理
heart_after_text,文末心形
heart_background,心形背景
heart_censor,爱心打码
heart_symbol,心形符号
hi_res,高分辨率
high_framerate,高帧率
highlights_(coloring),高光（着色）
highres,高分辨率
