40hara,40原
96panda,96熊猫
a1_(initial-g),A1（头文字G）
aaron_(artist),Aaron（画师）
abe_nana,阿部菜菜
abmayo,阿部麻油
adopted_(lore),被收养（设定）
adult_(lore),成年（设定）
afrobull,阿弗罗布尔
akairiot,赤井里绪
aki99,秋99
ankama,安卡马
anon,匿名者
aoki_(fumomo),青木（弗莫莫）
aono3,青野3
arinu,有缝
artist_collaboration,艺术家合作
artist_logo,画师标识
artist_name,画师名
artist_self-insert,画师自我代入
as109,AS109
asanagi,朝凪
asaya_minoru,浅谷实
atdan,阿特丹
avogado6,阿伏伽德罗6
b-ginga,B银河
backlash91,反冲91
badgerben,獾本
bbb_(friskuser),BBB（Frisk用户）
berseepon09,伯西朋09
bigdon1992,大顿1992
bigrbear,大灰熊
bkub,BKUB
blender_(medium),搅拌机（软件）
blue_sky_studios,蓝天工作室
blues64,布鲁斯64
brother_(lore),兄弟（设定）
brother_and_sister_(lore),兄妹（设定）
brothers_(lore),兄弟（设定）
carrot_(artist),胡萝卜（画师）
catstudioinc_(punepuni),猫工作室（噗尼噗尼）
cavemanon_studios,Cavemanon工作室
chanta_(ayatakaoisii),CHANTa（绫泷恋）
check_artist,核查画师
chengongzi123,辰公子123
cle_masahiro,克莱正洋
clover_studio,四叶草工作室
cluseller,克鲁塞勒
collaborative,合作创作
commissioner_name,委托人姓名
creator_connection,创作者关联
creayus,克雷亚斯
cutesexyrobutts,可爱性感机械臀
darkflash23,暗闪23
daughter_(lore),女儿（背景设定）
deviantart_username,DeviantArt用户名
dhx2kartz,DHX2卡丁车
digital_extremes,数字极限
dirtymac,脏脏麦克
dishwasher1910,洗碗机1910
don_bluth,唐·布鲁斯
ebi_193,海老193
egasumi,江霞
eiri_(eirri),英莉莉（英梨梨）
eliana-asato,艾莉安娜-麻里
engiyoshi,缘吉
enpera,恩佩拉
eric_schwartz,埃里克·施瓦茨
fasttrack37d,速轨37d
father_(lore),父亲（背景设定）
father_and_child_(lore),父子（背景设定）
father_and_daughter_(lore),父与女（背景设定）
fearingfun,恐惧乐趣
female_(lore),女性（设定）
forsaken_(artist),遗弃（艺术家）
freckles_(artist),雀斑（艺术家）
frist44,弗里斯44
fuel_(artist),燃料（画师）
fujima_takuya,藤末拓也
furaffinity,Furaffinity网站
galacticmichi,银河米奇
galaxytrail,银河轨迹
geewhy,GeeWhy
glitch_productions,故障制片厂
gonzarez,冈萨雷斯
grandparent_(lore),祖辈（设定）
grandparent_and_grandchild_(lore),祖孙（设定）
greasymojo,油腻莫霍
grimart,格里玛特
gunjyou_(gunjyou_00),群青（群青00）
gynomorph_(lore),雌形者（设定）
haimura_kiyotaka,羽村清孝
happoubi_jin,八宝备仁
hara_(harayutaka),原（原丰）
harada_minoru,原田实
harada_takehito,原田武人
haruyama_kazunori,春山和纪
heather_bruton,希瑟·布鲁顿
herm_(lore),双性人(设定)
hi-rez_studios,嗨锐工作室
hidefu_kitayan,北谷洋史
himura_kiseki,火村奇迹
hinghoi,兴恢
hiroki_(yyqw7151),宏树（yyqw7151）
hotathino,穗积野
hungry_clicker,饥饿点击器
hyaku_(artist),百（画师）
ilya_kuvshinov,伊利亚·库夫希诺夫
incest_(lore),乱伦（设定）
indirect_incest_(lore),间接乱伦（背景设定）
inkyfrog,墨蛙
innersloth,内鬼社
intersex_(lore),双性（设定）
ito_noizi,伊东杂音
jaeh,在熙
jako_(jakoo21),JAKO（JAKOo21）
jjune,六月
jmg,JMG
joaoppereiraus,若昂佩雷拉（用户）
jollyjack,快乐杰克
jrvanesbroek,范斯布洛克
jwinkz,杰温克斯
k-suwabe,洲边
kabalmystic_(artist),卡巴秘术师（画师）
kagami_hirotaka,各务广隆
kame_(kamepan44231),龟 (龟pan44231)
kandlin,坎德林
kankan33333,看看33333
kantoku,监督
kase_daiki,加濑大辉
kevinsano,凯文萨诺
kingofacesx,王牌之王X
kinkymation,奇趣动画
kishida_mel,岸田梅尔
kittydee,凯蒂迪
kloudmutt,克劳德马特
komatsu_eiji,小松荣治
kouno_(masao),河野（正雄）
koyama_shigeru,小山茂
labbit_(artist),拉比特（艺术家）
larian_studios,拉瑞安工作室
lewdchuu_(artist),Lewdchuu（画师）
lewis_smith,刘易斯·史密斯
m-da_s-tarou,M-da S太郎
male_(lore),男性（设定）
maleherm_(lore),双性男（设定）
malicekira,恶意kira
maru_(marg0613),Maru (Marg0613)
master,大师
mellonsoda,蜜瓜苏打
merunyaa,梅露nya
mery_(yangmalgage),Mery（yangmalgage）
metal_(artist),金属（艺术家）
mhdrawin,MHDRAWIN
mihoyo,米哈游
mika_pikazo,米卡皮卡佐
mikeou,御帝王
milkshakework,奶昔作品
mimonel,米莫内尔
minaba_hideo,皆叶英夫
minakami_(flyingman555),水上（Flyingman555）
misaki_kurehito,暮人岬
mitsumoto_jouji,光本匠二
miyagoe_yoshitsuki,宫越义次
mizumoto_tadashi,水元正
mizzyam,米兹亚姆
model_sheet,设定稿
morino_hon,森野炎
mother_(lore),母亲（设定）
mother_and_child_(lore),母子（背景设定）
mother_and_daughter_(lore),母女（设定）
mother_and_son_(lore),母子（设定）
murata_range,村田岭
namori,名森
nanao_naru,七尾奈留
nanashi_inc.,无名公司
naughty_dog,顽皮狗
negom,根古梦
nekotoufu,猫豆腐
neocoill,尼科伊尔
nephew_(lore),侄子（设定）
nezumi_(artist),根津美（画师）
nicnak044,尼克纳克044
niece_(lore),侄女（背景设定）
niichi_(komorebi-palette),新市（木漏れ日パレット）
nika_sharkeh,尼卡·沙尔克
nironiro,ニロニロ
nishi_koutarou,西幸太郎
nitroplus,Nitroplus
niwarhythm,二轮节奏
niwatazumi,庭园积尘
noai_nioshi,野爱丹生
nonbinary_(lore),非二元性别（背景设定）
nt00,NT00
ojipon,尾治朋
ootsuki_wataru,大月渉
oouso,大嘘
osamu_tezuka,手冢治虫
ota_(artist),御宅画师
oyama_mahiro,小山まひろ
oyari_ashito,大矢理足人
oystercatcher7,蛎鹬7号
paint.net_(medium),Paint.net（制作媒介）
parent_(lore),父母（设定）
parent_and_child_(lore),亲子（背景设定）
parent_and_daughter_(lore),亲子（背景设定）
parent_and_son_(lore),亲子（背景设定）
patreon_username,Patreon用户名
photolol.03,摄影作品.03
pixiv_commission,Pixiv委托
pixiv_username,pixiv用户名
pseudo_incest_(lore),伪乱伦（背景设定）
rappa_(rappaya),拉帕（拉帕屋）
reference_sheet,设定稿
replica_(artist),复制品（艺术家）
riichu,理一厨
ritts,里茨
riyo_(lyomsnpmp),Riyo（LYOMSNPMP）
rokugou_daisuke,六乡大辅
rtil,RTIL
ru_zhai,如斋
sakimichan,咲美酱
samneco,三猫子
sano_toshihide,佐野俊英
sato_shin,佐藤信
scenery,风景
sciamano240,希亚马诺240
scottgames,斯科特游戏
sekina,关名
senz,森兹
seo_tatsuya,濑尾达也
seth-iova,塞斯-艾欧瓦
setz,塞茨
shengtian,圣天
shibasaki_shouji,柴崎昭司
shimada_fumikane,岛田文金
shinosawa_hiro,篠泽广
shirabi,白火
shirosato,白里
shirow_masamune,士郎正宗
shiseki_hirame,史石比目
sibling_(lore),兄弟姐妹（设定）
signature,签名
sirjzau,爵士杰
sister_(lore),姐妹（设定）
sisters_(lore),姐妹（设定）
skeb_commission,Skeb委托
skipsy,斯基普西
softestpuffss,柔软蓬蓬
son_(lore),儿子（背景设定）
sorimachi-doufu,反町豆腐
sparrow_(artist),麻雀（画师）
spike_chunsoft,Spike Chunsoft
steel_wool_studios,钢丝绒工作室
studio_klondike,克朗代克工作室
sucker_punch_productions,偷袭娱乐公司
sugarlesspaints,无糖颜料
suzuhira_hiro,铃平广
t0l0k,托洛克
takeuchi_takashi,竹内孝司
tanaka_kusao,田中久雄
tani_takeshi,谷武敏
team_cherry,樱桃团队
the_moon_studio,月亮工作室
thebigbadwolf01,大坏狼01
tk8d32,TK8D32
tomose_shunsaku,友濑瞬朔
tony_taka,Tony
toranoana,虎之穴
toto_draw,TOTO绘制
trans_(lore),跨性别（设定）
trans_man_(lore),跨性别男性（设定）
trans_woman_(lore),跨性别女性（设定）
trevor-fox,特雷弗·福克斯
trout_(artist),鳟鱼（画师）
truegrave9,真墓九
tsunako,津奈波
tush_(artist),臀臀（画师）
twins_(lore),双胞胎（设定）
ueyama_michirou,上山道郎
uncle_(lore),叔父（背景设定）
uncle_and_nephew_(lore),叔侄（设定）
unsigned,未署名
urushihara_satoshi,漆原智志
utsugi_noriyuki,宇都宫则行
wakabayashi_toshiya,若林俊也
watanabe_akio,渡边明夫
winick-lim,温尼克-林
wisespeak,智语
xinzoruo,心卓若
yabuki_kentarou,矢吹健太朗
yaegashi_nan,八重葎南
yamamoto_souichirou,山本总一郎
yamashita_shun'ya,山下俊也
yd_(orange_maru),YD（橙丸）
young_(lore),年幼（设定）
yuureidoushi_(yuurei6214),幽霊道士（yuurei6214）
zerofox1000,零狐1000
zourik,佐里克
zp92,ZP92
