16:10,10:16:10比例
16:9,9比例:16:9比例
1:1,1:1:1
1:2,2:1比2比例
1:3,3:1:3
2:1,1:2:1比例
2:3,3:竖版2:3
2others,其他两人
3:2,2:3:2
3:4,
3:5,5:3:5比例
3others,其他3人
4:3,3:4:3
4:5,5:4:5比例
5:3,3:5:3
5:4,4:5:4
5:6,6: 5:6
5:8,8:5:8比例
5others,5人其他
6:5,5:6:5比例
7:4,4:7:4比例
9:16,16:9:16
aiming_at_viewer,瞄准观众
alternating_focus,交替对焦
ambiguous_focus,焦点模糊
ambiguous_pov,视角模糊
angellsview3,天使视角3
anthro_focus,人形聚焦
anthro_pov,拟人视角
anus_focus,肛门特写
armpit_focus,腋下特写
ass_focus,臀部特写
ass_visible_through_thighs,股间见臀
back_focus,背景虚化
back_turned,背对画面
behind_another,身后躲藏
being_watched,被注视
belly_focus,腹部特写
between_cheeks,臀缝之间
bird's-eye_view,鸟瞰视角
black_bars,黑色遮挡条
blur_censor,模糊打码
bottom_pov,receiving_pov
breast_focus,胸部特写
breast_shot,胸部特写
bust_portrait,半身肖像
butt_focus,臀部特写
butt_from_the_front,正面臀视图
butt_shot,臀部特写
camera_view,镜头视角
candid,自然抓拍
censored,打码
censored_by_text,文字遮挡
censored_face,面部打码
circle_formation,环形阵型
close-up,特写镜头
clothed_male_nude_female,衣着男性与裸体女性
clothes_focus,服装特写
consistent_pov,固定视角
cosplay_photo,角色扮演照片
cowboy_shot,牛仔式构图
creature_focus,生物聚焦
cropped_arms,截断手臂
cropped_head,头部裁切
cropped_legs,截断腿部
cropped_torso,截断躯干
crotch_focus,胯部特写
crotch_shot,胯部镜头
cut-in,切入画面
depth_of_field,景深
dominant_pov,支配者视角
down_blouse,俯视乳沟
duo,双人
duo_focus,双人焦点
duo_in_panel,画幅双人
dutch_angle,斜角镜头
epilepsy_warning,癫痫警告
expression_avatar,表情头像
expression_cutaway,表情剖视
extended_downblouse,延伸式领口窥视
eye_focus,视线聚焦
eye_through_hair,发间透眸
eye_trail,视线轨迹
eyes_in_shadow,阴影中的眼睛
eyes_visible_through_eyewear,透过眼镜可见双眼
eyes_visible_through_hair,透发可见的眼睛
face-to-face,面对面
face_focus,面部特写
face_in_pillow,枕中面容
face_to_face,面对面
facing_ahead,面向前方
facing_another,相对而立
facing_away,背对画面
facing_to_the_side,侧身
facing_viewer,面向观众
fake_censor,伪打码
feet_only,仅足部
feet_out_of_frame,足部出框
fellatio_pov,口交视角
female_focus,女性焦点
female_pov,女性视角
feral_focus,野生特写
feral_pov,野兽视角
first_person_view,第一人称视角
fisheye,鱼眼镜头
fisheye_lens,鱼眼镜头
floating_head,漂浮头部
food_focus,食物特写
foot_focus,足部特写
foot_out_of_frame,脚部出框
foot_shot,足部特写
footwear_focus,鞋履特写
foreshortening,前缩透视
framed_breasts,框式构图胸部
from_above,俯视视角
from_behind,背视
from_below,仰视视角
from_front_position,正面视角
from_outside,从外部
from_side,侧视
front_view,前视视角
full-length_portrait,全身肖像
full_body,全身
full_composition,全身构图
futanari_pov,扶她视角
genital_close-up,生殖器特写
genital_focus,生殖器特写
genital_shot,生殖器镜头
group,群体
group_photo,集体照
group_picture,集体照片
gynomorph_focus,女性形态特写
gynomorph_pov,女态视角
hair_focus,头发特写
half-length_portrait,半身肖像
hand_focus,手部焦点
head_only,头部特写
head_out_of_frame,出框
headshot,头部特写
headshot_portrait,头部肖像
height_assist,身高辅助
hidari_(left_side),左侧
high-angle_view,俯视视角
hip_focus,臀部特写
hoof_focus,蹄部特写
horizontal_blockage,横向阻塞
human_focus,人类主体
human_pov,人类视角
implied_pantyshot,暗示性内裤视角
in_the_face,脸上
inside,体内视角
intersex_pov,双性人视角
